CODIGO_PRODUTO,GIRO_MEDIO_DIAS,TOTAL_ENTRADAS,GIRO_MEDIO_MESES,CLASSIFICACAO_GIRO,2023,2024,2025,2026,TENDENCIA,TENDENCIA_PERC
CM006537,174.0,5,5.8,BAIXO,15.0,25.0,16.666666666666668,0.0,1.6666666666666679,0.11111111111111119
CM006553,157.0,6,5.233333333333333,BAIXO,4.166666666666667,8.333333333333334,11.666666666666666,0.0,7.499999999999999,1.7999999999999996
CM006557,135.28571428571428,8,4.5095238095238095,BAIXO,4.333333333333333,2.9166666666666665,5.0,0.0,0.666666666666667,0.15384615384615394
CM006571,77.0,2,2.566666666666667,MEDIO,0.0,0.0,2.525,0.0,2.525,2.525
CM006582,175.0,7,5.833333333333333,BAIXO,108.33333333333333,58.333333333333336,33.333333333333336,0.0,-75.0,-0.6923076923076923
CM006583,65.2,16,2.1733333333333333,MEDIO,19.166666666666668,20.0,27.5,0.0,8.333333333333332,0.4347826086956521
CM006607,153.66666666666666,7,5.122222222222222,BAIXO,14.583333333333334,12.5,4.166666666666667,0.0,-10.416666666666668,-0.7142857142857143
CM006610,99.66666666666667,4,3.3222222222222224,BAIXO,0.0,9.916666666666666,1.5833333333333333,0.0,1.5833333333333333,1.5833333333333333
CM006630,147.0,2,4.9,BAIXO,8.333333333333334,25.0,0.0,0.0,-8.333333333333334,-1.0
CM006650,125.0,2,4.166666666666667,BAIXO,1.25,0.0,0.0,0.0,-1.25,-1.0
CM006693,31.0,2,1.0333333333333334,ALTO,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
CM006712,106.75,9,3.558333333333333,BAIXO,4.666666666666667,3.6666666666666665,2.5,0.0,-2.166666666666667,-0.4642857142857143
CM006713,168.0,2,5.6,BAIXO,2.0,0.0,0.0,0.0,-2.0,-1.0
CM006735,75.0,2,2.5,MEDIO,20.833333333333332,0.0,0.0,0.0,-20.833333333333332,-1.0
CM006749,10.0,3,0.3333333333333333,ALTO,0.0,0.0,3.4166666666666665,0.0,3.4166666666666665,3.4166666666666665
CM006771,100.66666666666667,10,3.3555555555555556,BAIXO,19.166666666666668,2.5,10.0,0.0,-9.166666666666668,-0.4782608695652174
CM006776,101.0,11,3.3666666666666667,BAIXO,14.666666666666666,5.0,6.333333333333333,0.0,-8.333333333333332,-0.5681818181818181
CM006794,96.28571428571429,8,3.2095238095238097,BAIXO,5.0,8.0,1.0,0.0,-4.0,-0.8
CM006815,122.0,8,4.066666666666666,BAIXO,216.66666666666666,233.33333333333334,200.0,0.0,-16.666666666666657,-0.07692307692307689
CM006835,121.0,2,4.033333333333333,BAIXO,0.0,33.333333333333336,0.0,0.0,0.0,0.0
CM006895,141.8,6,4.7266666666666675,BAIXO,12.5,12.5,27.5,0.0,15.0,1.2
CM006940,177.6,6,5.92,BAIXO,1.9166666666666667,4.5,2.0,0.0,0.08333333333333326,0.043478260869565175
CM006965,146.0,2,4.866666666666666,BAIXO,0.0,0.9166666666666666,0.0,0.0,0.0,0.0
CM006974,111.0,2,3.7,BAIXO,0.5,0.0,0.0,0.0,-0.5,-1.0
CM006997,144.0,3,4.8,BAIXO,7.0,6.0,0.0,0.0,-7.0,-1.0
