CODIGO_PRODUTO,2023,2024,2025,TARGET_2025,COMPROU_2023,COMPROU_2024,COMPROU_2025,ANOS_COM_COMPRA,CLASSE_PRODUTO,PREVISAO_MENSAL_2026,PREVISAO_ANUAL_2026,ORIGEM_PREVISAO
CM029694,0.0,1.25,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029695,0.0,0.25,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029696,0.0,0.25,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029699,0.0,0.1666666666666666,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029700,0.0,0.8333333333333334,1.0,1.0,0,1,1,2,RECORRENTE,1.0002738424367552,12.003286109241063,MODELO_ML
CM029701,0.0,0.8333333333333334,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029702,0.0,0.1666666666666666,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029703,0.0,0.0833333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029707,0.0,8.333333333333334,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029708,0.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,0,1,1,2,RECORRENTE,0.16818969645100687,2.0182763574120823,MODELO_ML
CM029709,0.0,0.1666666666666666,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029710,0.0,0.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029712,0.0,1.6666666666666667,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029713,0.0,0.25,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029714,0.0,0.25,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029715,0.0,0.25,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029716,0.0,0.25,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029717,0.0,0.25,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029718,0.0,0.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029719,0.0,0.0833333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029720,0.0,1.0,2.0,2.0,0,1,1,2,RECORRENTE,1.9998770354453013,23.998524425343614,MODELO_ML
CM029721,0.0,0.25,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029722,0.0,1.6666666666666667,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029723,0.0,0.8333333333333334,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029724,0.0,0.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029725,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029726,0.0,1.6666666666666667,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029727,0.0,0.4166666666666667,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029728,0.0,0.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029729,0.0,1.6666666666666667,1.0,1.0,0,1,1,2,RECORRENTE,1.0002738424367552,12.003286109241063,MODELO_ML
CM029730,0.0,0.3333333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029731,0.0,2.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029732,0.0,0.0833333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029733,0.0,0.1666666666666666,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029734,0.0,0.3333333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029735,0.0,0.25,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029736,0.0,0.3333333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029737,0.0,2.5,4.166666666666667,4.166666666666667,0,1,1,2,RECORRENTE,4.165501117056748,49.986013404680975,MODELO_ML
CM029738,0.0,0.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029740,0.0,4.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029745,0.0,0.6666666666666666,0.5,0.5,0,1,1,2,RECORRENTE,0.5010259684836577,6.012311621803892,MODELO_ML
CM029746,0.0,0.8333333333333334,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029747,0.0,0.8333333333333334,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
