RAZAO_FORNECEDOR,avg_lead_time,std_lead_time,recurrence,total_spent,total_products_value,total_discount,discount_rate,avg_item_price,score,rating,classificacao
KAPITAO AMERICA EQUIP DE SEG COM IND LTDA,1.5,0.7071067811865476,2,1128.0,1128.0,0.0,0.0,188.0,0.39856065368382565,3,Médio
KARCHER INDUSTRIAL E COMERCIO LTDA,7.666666666666667,1.2110601416389968,6,22927.93,22792.4,0.0,0.0,588.7438571428572,0.3924931909011902,2,Ruim / Não recomendado
KEVEN LUCAS VIEIRA GONDIM,1.0,0.0,3,7328.7,7328.7,0.0,0.0,22.45,0.4008422375829026,4,Bom
KRONOS INDUSTRIA DE ABRASIVOS LTDA,7.0,0.0,1,4501.0,4501.0,0.0,0.0,6.785,0.3869767442466198,1,Ruim / Não recomendado
KTELI INDUSTRIA E COMERCIO LTDA,3.0,0.0,1,1479.56,1257.0,0.0,0.0,41.9,0.39441860467712275,2,Ruim / Não recomendado
L.L.E COMERCIO DE PRODUTOS AGROPECUARIOS LTDA - ME,0.0,0.0,1,582.0,582.0,0.0,0.0,58.2,0.4,3,Médio
L.SILVA PINTO EPP,16.5,23.33452377915607,2,7508.96,7272.6,0.01,1.375024062732032e-06,97.40000000000002,0.37065484392758363,1,Ruim / Não recomendado
LANA FRANCIS LEAO,1.0,0.0,1,3650.0,3800.0,150.0,0.039473684200138505,82.5,0.43163726859611173,5,Ótimo / Recomendado
LED TOOLS FERRAMENTAS LTDA,0.0,0.0,1,511.7,440.0,0.0,0.0,44.0,0.4,3,Médio
LEIHSURE QUIMICA LTDA,1.5,0.5773502691896257,4,10854.9,10872.9,18.0,0.0016554920948729877,27.1625,0.4026682222860721,4,Bom
LF COMERCIO DE PNEUMATICOS LTDA,1.0,0.0,1,1712.22,1712.22,0.0,0.0,142.685,0.39813953489237425,3,Médio
LG MANGUEIRAS E PARAFUSOS LTDA,14.083333333333334,21.609009124953396,24,15126.84,15970.59,843.75,0.05283148587166589,246.4129315068493,0.44971281849132505,5,Ótimo / Recomendado
LG MANGUEIRAS E PARAFUSOS LTDA ME,0.0,0.0,19,4961.97,5707.1,745.13,0.13056193160614638,80.44,0.5351203876025487,5,Ótimo / Recomendado
LIANDRA E DANILO ALVES DE PAIVA,15.0,0.0,1,200.0,262.5,62.5,0.23809523718820863,131.25,0.5741428450090753,5,Ótimo / Recomendado
LIDER DISTRIBUIDORA DE ROLAMENTOS E PECAS LTDA.,2.875,1.8850918886280923,8,14507.72,14482.72,0.0,0.0,71.0095,0.4041106222324253,4,Bom
LIJAFRAN CALCADOS E CONFECCOES LTDA - EPP,0.0,0.0,1,440.0,440.0,0.0,0.0,220.0,0.4,3,Médio
LILIAN APARECIDA BORGES 03385475686,215.0,301.22748878546923,2,5140.0,5140.0,0.0,0.0,25.285714285714285,0.0013513532057292984,1,Ruim / Não recomendado
LKP PRODUTOS PARA DIAGNOSTICOS,5.0,0.0,1,909.03,772.48,23.17,0.029994304020823447,48.28,0.41615111842277125,5,Ótimo / Recomendado
LOJA DO BORRACHEIRO LTDA,9.333333333333334,22.821558435211312,18,3751.95,3751.95,0.0,0.0,127.8826923076923,0.40560863186498425,4,Bom
LOJAS CASTELO FORTE LTA,8.5,10.959716447763812,14,6702.05,6702.05,0.0,0.0,40.015537037037035,0.40175361407361554,4,Bom
LP CLEANING INDUSTRIA E COMERCIO LTDA,4.0,0.0,1,6720.0,6720.0,0.0,0.0,6720.0,0.39255813956949703,2,Ruim / Não recomendado
LUBEXX - EP DISTR LUBR PECAS FILTROS LTDA,2.0,1.7320508075688772,3,5907.68,5907.68,0.0,0.0,964.23275,0.3989817724752769,3,Médio
LUBRIFICAR DIST DE LUBRIF. FILTROS LTDA ME,0.05555555555555555,0.2357022603955158,18,6200.0,7342.04,1142.04,0.15554804929480798,169.84833333333333,0.5548691277780526,5,Ótimo / Recomendado
LUCA INDUSTRIA E COMERCIO LTDA,1.0,0.0,1,6593.26,6593.26,0.0,0.0,58.67842105263157,0.39813953489237425,3,Médio
LUCAS DANIEL SARDINHA -ME,0.0,0.0,1,1674.0,1674.0,0.0,0.0,1674.0,0.4,3,Médio
LUCAS LEMES,3.0,0.0,1,990.0,990.0,0.0,0.0,20.0,0.39441860467712275,2,Ruim / Não recomendado
LUCIANA SOARES VIEIRA,1.0,0.0,1,125.0,125.0,0.0,0.0,2.5,0.39813953489237425,3,Médio
LUCIANO PECAS ELETRICA,0.0,0.0,1,321.1,321.1,0.0,0.0,2.47,0.4,3,Médio
LUMAGI INDUSTRIA METALURGICA LTDA,8.222222222222221,3.833333333333333,9,56365.09,56274.26,0.0,0.0,435.669725,0.39551365321052406,2,Ruim / Não recomendado
LUMINARIAS N. SRA. DA GUIA LTDA,0.0,0.0,1,30000.0,30000.0,0.0,0.0,5000.0,0.4,3,Médio
LUZTOL INDUSTRIA QUIMICA LTDA,2.7058823529411766,1.829094922439543,17,183368.41999999998,170286.82,0.0,0.0,74.18176842105264,0.41658742182123965,5,Ótimo / Recomendado
"LYNUS INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LTDA",8.8,1.3038404810405297,5,58366.29,57623.57,0.0,0.0,263.08683333333335,0.3890333124339502,2,Ruim / Não recomendado
M F CONEXOES INDUSTRIA E COMERCIO LTDA,6.5,5.32290647422377,4,21174.37,21174.37,0.0,0.0,35.75791666666667,0.39196103083622524,2,Ruim / Não recomendado
M. A COMERCIO DE MAQUINAS E PECAS LTDA,0.3333333333333333,0.5773502691896258,3,1365.0,1469.14,104.14,0.07088500750719126,115.67333333333333,0.462236220998754,5,Ótimo / Recomendado
M. S. F. METALURGICA SANTA FE LTDA,6.0,2.8284271247461903,2,12260.0,11346.16,0.0,0.0,41.89387755102041,0.3901885606995098,2,Ruim / Não recomendado
MAC DIESEL LTDA,34.333333333333336,21.731697279933442,6,1737.78,1809.75,71.97,0.039767923724399544,121.21628571428572,0.3766282161181035,1,Ruim / Não recomendado
MAC DIESEL PECAS E SERVIÇOS LTDA-ME,13.058823529411764,11.69118571956719,17,7222.6900000000005,7990.200000000001,767.51,0.09605641910139213,259.9661379310345,0.4788405021615891,5,Ótimo / Recomendado
MACCAFERRI DO BRASIL LTDA,5.0,0.0,1,8970.0,8970.0,0.0,0.0,3.9,0.3906976744618713,2,Ruim / Não recomendado
MACHADO DISTRIBUICAO COMERCIO DE PECAS,1.0,0.0,2,1901.35,1828.85,0.0,0.0,24.525666666666666,0.39949088623763845,3,Médio
MACLOREN MAQUINAS P/AGRICULTURA LTDA,7.75,0.9574271077563381,4,9643.26,9378.02,0.0,0.0,22.536190476190477,0.38963544945169304,2,Ruim / Não recomendado
MADEFER FERRAGENS MDF E ACESSORIOS,21.0,29.097537123726926,7,3688.2000000000003,3688.15,0.0,0.0,180.3089,0.3690383408114445,1,Ruim / Não recomendado
MADEIREIRA BRUTHIPAUMA,0.0,0.0,7,11938.2,11956.2,18.0,0.0015054950568319787,137.24057142857143,0.40938568510874124,4,Bom
MADEIREIRA TOBIAS LTDA - CD,0.0,0.0,1,25.8,25.8,0.0,0.0,25.8,0.4,3,Médio
MAGAZINE LUIZA S/A,6.0,0.0,1,5259.89,5199.98,0.0,0.0,2599.99,0.3888372093542456,2,Ruim / Não recomendado
MAKITA DO BRASIL FERRAMENTAS ELETRICAS LTDA,4.7727272727272725,1.7976656339825077,22,59009.950000000004,55985.020000000004,0.0,0.0,360.88059722222226,0.419498885691425,5,Ótimo / Recomendado
MANGUEIRAS RV PARAFUSOS E FERRAMENTAS,4.368421052631579,3.789026939228439,19,2940.53,3453.7000000000003,513.17,0.14858557484767476,21.950096153846154,0.5422881231051906,5,Ótimo / Recomendado
MANGUEPLAST MANGUEIRAS,10.25,2.261335084333227,12,58949.38,57116.3,0.0,0.0,13.412108108108107,0.39579509744474217,2,Ruim / Não recomendado
MAPEGE DISTRIBUIDORA LTDA,4.8,4.147288270665544,5,480.0,480.0,10.0,0.020833333289930554,80.0,0.414154532287024,5,Ótimo / Recomendado
MAQUINAS AGRICOLAS JACTO S A,4.0,0.0,1,1841.71,1841.71,0.0,0.0,1841.71,0.39255813956949703,2,Ruim / Não recomendado
MARCIA PEREIRA DE SOUZA,4.0,0.0,1,276.42,276.42,0.0,0.0,138.21,0.39255813956949703,2,Ruim / Não recomendado
MARCON INDUSTRIA METALURGICA LTDA,9.0,4.898979485566356,4,21640.809999999998,21602.09,0.0,0.0,1173.6536363636365,0.3873098680671609,1,Ruim / Não recomendado
MARIA GISLAINE DOS SANTOS ALVES SEGURANÇA EPIS,0.0,0.0,1,4660.0,4660.0,0.0,0.0,14.596666666666666,0.4,3,Médio
