RAZAO_FORNECEDOR,CNPJ_FORNECEDOR,avg_lead_time,std_lead_time,recurrence,total_spent,total_products_value,total_discount,discount_rate,avg_item_price,rating,classificacao
HIDRO VOLT-MAT ELETRICOS E HIDRAULICOS,16713303000191,0.3333333333333333,0.5,9,3746870,4536860,789990.0,0.1741270394060707,74.57,5,Ótimo / Recomendado
HIDRONINJA LTDA,9623574000190,1.0,0.0,1,1960000,1960000,0.0,0.0,250.0,4,Bom
HIGIENE MATERIAIS DE LIMPEZA,28584823000120,1.0,0.0,2,3333000,3333000,0.0,0.0,36.7125,4,Bom
HIMAFLEX INDUSTRIA E COMERCIO DE PLASTICOS LTDA,7335416000100,8.428571428571429,2.2990681342044406,7,59251360,57386250,0.0,0.0,13.727735849056605,4,Bom
IBC INDUSTRIA DE BORRACHAS CAXIAS,73241572000136,13.0,0.0,1,7759600,7286000,0.0,0.0,7.094285714285713,3,Médio
IBIRA INDUSTRIA E COMERCIO DE PLASTICOS LTDA,61478467000136,9.2,4.266145801540309,5,31694460,30719000,0.0,0.0,10.60923076923077,3,Médio
IMDEPA ROLAMENTOS IMP E COM LTDA,88613922000468,1.1,0.41649656391752155,50,201941570,190584680,0.0,0.0,15.7328978978979,5,Ótimo / Recomendado
IMPERIAL FERRAMENTAS,1716186000142,4.5,0.7071067811865476,2,2141500,2141500,0.0,0.0,155.475,4,Bom
IMPERIAL IMPORTADOS LTDA,37930551000164,4.0,1.1547005383792515,4,4831640,4435780,0.0,0.0,58.8728,4,Bom
IND COM COUROS CALCADOS PRIMAVERA LTDA,67417378000166,4.5,0.7071067811865476,2,32039620,35597340,3557720.0,0.09994342273888723,84.40136363636363,4,Bom
INDUSCOMEL IND E COM CORRENTES MASSARI LTDA,54947551000196,6.0,0.0,1,1959040,1785000,0.0,0.0,11.9,3,Médio
INDUSTRIA METALURGICA CIAR LTDA,59597773000140,19.0,0.0,1,3450970,3280400,0.0,0.0,49.77857142857143,3,Médio
IPC BRASIL - IMPORTADORA DE PRODUTOS CERTIFICADOS,9520471000103,10.0,2.0,3,13215900,12799900,0.0,0.0,16.69138888888889,3,Médio
IRMAOS SOARES S/A,1559046000531,1.6666666666666667,1.5275252316519465,3,1310300,1311060,0.76,5.79683614784541e-07,124.5775,4,Bom
IRMAOS SOARES S/A,1559046005339,0.0,0.0,1,918600,918600,0.0,0.0,45.93,4,Bom
ITATIAIAATACADISTA LTDA,6862927000389,4.0,0.0,2,3063410,3063410,0.0,0.0,15.235083333333334,4,Bom
JAKELINE VIEIRA CRUVINEL CABRAL,15700643000115,1.0,0.0,1,408690,408690,0.0,0.0,408.69,4,Bom
JC DIST LOG IMP E EXP DE PROD IND SA,6314327000203,3.0,1.8090680674665818,12,23630540,23603340,0.0,0.0,77.77887096774194,5,Ótimo / Recomendado
JG INDUSTRIA METALURGICA LTDA,25156112000167,1.0,0.0,1,3812070,3810810,0.0,0.0,26.905181818181816,4,Bom
JL COMERCIO DE PECAS E PNEUMATICOS LTDA,42006127000168,2.0,1.7320508075688772,3,316000,316000,0.0,0.0,31.5,4,Bom
JOMARCA INDUSTRIAL DE PARAFUSOS LTDA,43298975000150,9.5,0.7071067811865476,2,20512000,19260130,0.0,0.0,30.937583333333336,3,Médio
JOSE BREM FERNANDES MACHADO,91052815987,0.0,0.0,1,3550000,3550000,0.0,0.0,66.25,4,Bom
JR ATACADO E DISTRIBUIDORA DE EMBALAGENS PLASTICAS,29857647000116,4.0,3.0,3,2162820,2162820,0.0,0.0,34.644999999999996,4,Bom
JRL ATACADO E DISTRIBUIDORA LTDA,53290668000187,6.666666666666667,2.516611478423583,3,3592860,3592860,0.0,0.0,7.71,3,Médio
JW ROLAMENTOS RETENTORES E PECAS LTDA,8672425000159,1.0,0.0,2,783000,783000,0.0,0.0,47.625,4,Bom
KEVEN LUCAS VIEIRA GONDIM,61861558000156,1.0,0.0,3,7328700,7328700,0.0,0.0,22.45,4,Bom
KRONOS INDUSTRIA DE ABRASIVOS LTDA,45989878000130,7.0,0.0,1,4501000,4501000,0.0,0.0,6.785,3,Médio
L.L.E COMERCIO DE PRODUTOS AGROPECUARIOS LTDA - ME,4308362000103,0.0,0.0,1,582000,582000,0.0,0.0,58.2,4,Bom
LEIHSURE QUIMICA LTDA,50294874000177,2.0,0.0,1,3724500,3724500,0.0,0.0,28.1,4,Bom
LG MANGUEIRAS E PARAFUSOS LTDA,17085884000127,5.125,8.592978861505811,8,4994210,5091460,97250.0,0.019100611612382478,45.52654166666667,5,Ótimo / Recomendado
LIDER DISTRIBUIDORA DE ROLAMENTOS E PECAS LTDA.,9219852000149,1.0,0.0,1,930000,927000,0.0,0.0,90.0,4,Bom
LILIAN APARECIDA BORGES 03385475686,32963989000125,2.0,0.0,1,2400000,2400000,0.0,0.0,45.0,4,Bom
LOJA DO BORRACHEIRO LTDA,73469967000352,2.0,1.5811388300841898,5,1141230,1141230,0.0,0.0,193.446,4,Bom
LOJAS CASTELO FORTE LTA,6142796000101,4.0,1.4142135623730951,4,2388800,2388800,0.0,0.0,83.31304347826087,4,Bom
LUBEXX - EP DISTR LUBR PECAS FILTROS LTDA,8019654000179,1.0,0.0,1,1472720,1472720,0.0,0.0,450.2255,4,Bom
LUCIANO PECAS ELETRICA,3308333600,0.0,0.0,1,321100,321100,0.0,0.0,2.47,4,Bom
LUMAGI INDUSTRIA METALURGICA LTDA,56209307000151,6.8,1.0954451150103321,5,15352490,15352490,0.0,0.0,394.11181818181814,4,Bom
LUZTOL INDUSTRIA QUIMICA LTDA,464374000168,1.0,0.0,1,7791590,7155520,0.0,0.0,44.169,4,Bom
"LYNUS INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LTDA",7162964000185,9.5,0.7071067811865476,2,21692170,21326870,0.0,0.0,187.67333333333332,3,Médio
M F CONEXOES INDUSTRIA E COMERCIO LTDA,25237662000100,6.0,0.0,1,8582150,8582150,0.0,0.0,24.94818181818182,3,Médio
M. A COMERCIO DE MAQUINAS E PECAS LTDA,47680627000102,0.5,0.7071067811865476,2,420000,440000,20000.0,0.04545454545444215,100.0,5,Ótimo / Recomendado
M. S. F. METALURGICA SANTA FE LTDA,3063573000152,8.0,0.0,1,8875000,8226160,0.0,0.0,39.013684210526314,3,Médio
MAC DIESEL LTDA,9666502000120,25.666666666666668,5.507570547286102,3,1067780,1067780,0.0,0.0,152.54,3,Médio
MAC DIESEL PECAS E SERVIÃOS LTDA-ME,9666502000120,16.88888888888889,6.489307444643929,9,4613000,5113570,500570.0,0.09789051484577352,423.55583333333334,4,Bom
MADEFER FERRAGENS MDF E ACESSORIOS,1926006000157,3.0,0.0,1,75170,75170,0.0,0.0,17.986,4,Bom
MAKITA DO BRASIL FERRAMENTAS ELETRICAS LTDA,45865920000100,4.428571428571429,1.6183471874253743,7,21501490,20462640,0.0,0.0,311.8870303030303,4,Bom
MAKITA DO BRASIL FERRAMENTAS ELETRICAS LTDA,45865920000615,6.5,0.7071067811865476,2,1770570,1701840,0.0,0.0,4.4078888888888885,3,Médio
MANGUEIRAS RV PARAFUSOS E FERRAMENTAS,28682246000100,3.888888888888889,3.4075080500434787,9,1348300,1574740,226440.0,0.14379516618607274,11.386291666666667,5,Ótimo / Recomendado
MARCIA PEREIRA DE SOUZA,24870128000174,4.0,0.0,1,276420,276420,0.0,0.0,138.21,4,Bom
MARCON INDUSTRIA METALURGICA LTDA,57211997000146,12.0,4.242640687119285,2,16978410,16939690,0.0,0.0,1021.0877777777777,3,Médio
MARTINS COMERCIO E SERVICOS DE DISTRIBUICAO S.A,43214055004013,3.8823529411764706,3.425681555201396,17,52947190,52818580,0.0,0.0,98.81985714285715,5,Ótimo / Recomendado
MARTINS COMERCIO E SERVICOS DE DISTRIBUICAO SA,43214055000107,2.0,0.0,1,7116410,7108310,0.0,0.0,4.739,4,Bom
MARYANNA ICHII PAIM COSTA EIRELI,30168828000114,2.0,2.8284271247461903,2,990000,990000,0.0,0.0,495.0,4,Bom
MASTER INDUSTRIA E COMERCIO DE CONEXOES LTDA,23419258000122,2.6666666666666665,0.5773502691896258,3,3079700,3079700,0.0,0.0,14.84,4,Bom
MEGA DISTRIBUIDORA,22222222222,1.0,0.0,1,680000,680000,0.0,0.0,34.0,4,Bom
MEGA METAIS HIDRAULICOS LTDA,42947550000162,8.5,7.7781745930520225,2,10465180,10465180,0.0,0.0,23.959605263157897,3,Médio
MEGAFLEX MANGUEIRAS E CONEXOES LTDA-ME,15794935000164,1.0769230769230769,0.35426836279082824,39,55004740,55012240,7500.0,0.00013633329600830403,15.385713286713289,5,Ótimo / Recomendado
MEGATECH COMERCIO DE PRODUTOS E INFORMATICA,31703330000177,0.0,0.0,1,250000,250000,0.0,0.0,250.0,4,Bom
MEGATECNOLOGIA IMPLEMENTOS RODOVIARIOS LTDA,19437625000305,1.0,0.0,1,1995000,1995000,0.0,0.0,9.975,4,Bom
MERTZ E GLAESER LTDA,379100000170,5.625,3.1594529363709247,8,34262240,34223240,0.0,0.0,147.16404494382022,4,Bom
METAIS NOBRES LTDA,21170462000127,1.6666666666666667,0.5773502691896257,3,2305020,2343230,37730.48,0.016101910610560596,50.72833333333333,5,Ótimo / Recomendado
METALBO INDUSTRIA DE FIXADORES METALICOS LTDA,75483040000211,8.333333333333334,0.5773502691896255,3,82435620,77404360,0.0,0.0,118.93294871794872,3,Médio
METALURGICA FERCAR LTDA,25850652000146,11.0,0.0,1,3083100,2936280,0.0,0.0,36.57,3,Médio
METALURGICA FEY LTDA,84229624000175,12.0,4.242640687119285,2,9716320,9123280,0.0,0.0,389.7242058823529,3,Médio
MG AUTO PECAS LTDA,36844256000122,2.5,0.7071067811865476,2,129000,145100,16100.0,0.11095796002680249,4.08725,5,Ótimo / Recomendado
MGM LUBRIFICANTES EIRELI,35647623000135,1.0,0.0,2,10617940,10603000,0.0,0.0,121.93433333333334,4,Bom
MICHELAINE STORE LTDA,45003997000171,4.0,0.0,1,1016400,1016400,0.0,0.0,101.64,4,Bom
MOTO BRASIL PECAS E ACESSORIOS LTDA,4584726000331,1.0,0.0,1,4560800,4560800,0.0,0.0,43.050000000000004,4,Bom
MOTO BRASIL PECAS E ACESSORIOS LTDA,4584726000412,1.0,0.0,4,8191750,8191750,0.0,0.0,76.39631578947369,4,Bom
NC PAPEIS LTDA,9032847000122,6.5,6.363961030678928,2,10883370,10540800,0.0,0.0,7.32,3,Médio
NEIDEMAR APARECIDA VIEIRA DO PRADO LTDA,32956737000179,2.0,1.0,3,5942170,5942170,0.0,0.0,169.19066666666666,4,Bom
"NEOBETEL EPI, EQUIPAMENTOS DE PROTECAO INDIVIDUAL LTDA",25464260000300,1.0,0.0,1,1950000,1950000,0.0,0.0,130.0,4,Bom
NEVASKA DISTRIBUIDORA DE CORREIAS E PECAS LTDA,9138091000281,1.0,0.0,1,3023510,2878670,0.0,0.0,6.0024,4,Bom
NEVASKA DISTRIBUIDORA DE CORREIS E PECAS LTDA,9138091000109,1.1666666666666667,0.38924947208076144,12,18409960,17759660,0.0,0.0,5.840590909090909,5,Ótimo / Recomendado
NEW HOME SHOP LTDA,23822173000190,4.0,0.0,1,737900,737900,0.0,0.0,49.193,4,Bom
NEW SHOP COMERCIO E INDUSTRIA EIRELI,43411944000164,8.0,0.0,1,6817500,6817500,0.0,0.0,90.89999999999999,3,Médio
NOVA AMAZONAS IND COM IMP ALIM LTDA,37259223000269,5.5,0.7071067811865476,2,1346920,1336920,0.0,0.0,27.8525,3,Médio
NOVA DISTRIBUIDORA DE FERRAGENS LTDA,2595626000113,1.5,0.5773502691896257,4,18037260,18037260,0.0,0.0,22.617901960784312,4,Bom
NXL DISTRIBUIDORA LTDA,33629235000104,7.0,0.0,2,10025300,10025300,0.0,0.0,5.596363636363637,3,Médio
O.V.D. IMPORTADORA E DISTRIBUIDORA LTDA,76635689000192,6.0,0.0,2,2844750,2844750,0.0,0.0,19.956666666666667,3,Médio
O.V.D. IMPORTADORA E DISTRIBUIDORA LTDA,76635689001326,1.5897435897435896,0.9319146250944174,78,698331310,684127290,0.0,0.0,60.06954683929931,5,Ótimo / Recomendado
ORBI QUIMICA S/A,7704914000344,15.0,0.0,1,6869900,6851520,0.0,0.0,5.685555555555556,3,Médio
OUROLUX COMERCIAL LTDA,5393234000321,8.0,1.0,3,41804940,38179340,0.0,0.0,22.016136363636363,3,Médio
PADO S.A INDL COML E IMPORTADORA,61144150000678,12.0,0.0,1,5863660,5863660,0.0,0.0,32.84916666666667,3,Médio
PASIFER AÃOS ESPECIAIS LTDA,11344973000164,13.0,0.0,1,3106530,3071490,0.0,0.0,1037.43,3,Médio
PEREIRA NOBRE AUTO PECAS,8660172000101,2.0,0.0,1,544000,544000,0.0,0.0,56.0,4,Bom
